category,games,pct_of_total,mae,std,direction_accuracy,avg_elo_diff
Elite vs Elite (both > 1600),119,7.722258273848151,7.502002587463675,5.650558840740706,75.63025210084034,151.0252100840336
Elite vs Average,301,19.53277092796885,7.921906070257738,6.104850044192945,75.41528239202658,326.0598006644518
Average vs Average,789,51.20051914341337,11.3499094968088,9.121313747878556,55.38656527249684,9.05703422053232
Mismatch (Elo diff > 300),220,14.276443867618429,7.932611362466758,6.116719964473927,76.36363636363637,472.05454545454546
Weak Team Involved (< 1400),434,28.163530175210905,7.521210111196964,6.002208930009262,80.64516129032258,275.29953917050693
