team,avg_pace,avg_off_ppa,avg_def_ppa,avg_plays
Adrian,109.5,0.0730406380097174,-0.12714767236899216,126.0
William Jewell,74.5,0.07645993654253816,0.5956181963907518,80.0
McKendree,74.5,0.11980243864319388,0.44981428548128166,81.0
Texas Wesleyan,74.5,-0.10125575212877018,0.22438629666632906,76.0
Limestone,74.0,0.2258989271336447,0.44326758371286407,59.0
Lincoln (PA),73.75,-0.005016965269611311,0.27001566892513507,71.5
Greensboro College,73.5,-0.03143380096109146,0.30488103283442797,75.0
Eastern New Mexico,73.0,-0.251376166710048,0.12716497226133885,71.0
Western New Mexico,73.0,-0.08553323470972993,0.1551115014084384,55.0
Texas Tech,72.77884615384616,0.21448314075376038,0.11020284663237387,76.65384615384616
North Texas,72.07692307692308,0.2715216690861181,0.2313301451351985,71.38461538461539
Bowie State,72.0,0.12393232476082888,0.27234270295062557,71.0
Tulsa,71.83333333333333,0.14021860053976823,0.24637529841129488,73.04166666666667
South Florida,71.75,0.21873717613297752,0.19093444013817945,71.04
Samford,71.38372093023256,0.09930969139858165,0.14371423888655205,71.93023255813954
Ole Miss,71.17647058823529,0.3068578217900201,0.09618629626708552,73.47058823529412
Louisiana College,71.0,-0.000754486663734795,0.3795885938512391,66.5
Western Carolina,70.97727272727273,0.2481716317456754,0.187585284226994,73.29545454545455
Tennessee,70.88235294117646,0.2930078338960682,0.09860284637937183,72.25490196078431
UVA Wise,70.75,-0.19510178850799811,0.39464650627125397,70.0
Oklahoma State,70.70588235294117,0.11554525980577197,0.245305341842824,70.49019607843137
Utah State,70.65,0.17556724501994125,0.19488701826647328,70.02
Monmouth,70.54444444444445,0.3425036419262,0.19920869360407603,69.95555555555555
Point University,70.5,0.03662238934823635,0.4059254431535332,59.0
Clark Atlanta,70.5,0.2533172038913581,0.26888762193563176,84.0
St. Thomas University (Fl),70.5,0.25803835911299916,0.1849550792652093,65.0
Texas State,70.42,0.23450308925321214,0.1420500654160779,71.74
Southeast Missouri State,70.26595744680851,0.17023011278067104,0.13164396920821822,71.87234042553192
Georgia Southern,70.20588235294117,0.19926663995614952,0.24693888432707434,71.17647058823529
SMU,70.12264150943396,0.25948697676000937,0.07342310658918826,70.67924528301887
UTSA,70.11538461538461,0.21279022318238627,0.13254473602071876,72.63461538461539
Idaho State,69.8108108108108,0.16795099682042494,0.27160196394538877,69.24324324324324
Florida Atlantic,69.78125,0.1687473681088667,0.19068568797265398,69.66666666666667
Wake Forest,69.73469387755102,0.14000570861130596,0.17536718363164375,69.3265306122449
Chadron St,69.5,-0.08033581606987777,0.20280421763743317,70.0
Oklahoma,69.3921568627451,0.18427054896164916,0.07862304993029601,69.88235294117646
TCU,69.375,0.24718475013028257,0.1517523204428945,69.07692307692308
Brown,69.29729729729729,0.10811563339458156,0.23770798963151601,73.0
Jacksonville State,69.27450980392157,0.22050897652306406,0.10475121104083474,69.11764705882354
Fordham,69.25,0.14688295851688885,0.2006465137876642,70.47727272727273
Middle Tennessee,69.10204081632654,0.12788842940839293,0.18507552979358596,68.40816326530613
App State,69.04081632653062,0.20346457690128308,0.1940189180401915,71.20408163265306
Sioux Falls,69.0,0.09199685452874376,-0.12760451644003956,87.0
Saginaw Valley State,69.0,0.14903177517837277,0.2405953468716227,72.0
Incarnate Word,68.96739130434783,0.25494655047590564,0.06729686448347691,71.52173913043478
Maryland,68.96,0.16029264189399442,0.11471584794873346,68.24
Georgia State,68.94897959183673,0.15310331917619702,0.2248521217416112,69.44897959183673
Old Dominion,68.8265306122449,0.17678552347492896,0.12660985367601,64.57142857142857
Western Kentucky,68.82075471698113,0.21052296369292853,0.1623227974805255,67.98113207547169
East Carolina,68.82,0.17955854654112519,0.1365147056790192,70.06
Arkansas State,68.82,0.12121306370566165,0.2369829854153057,68.84
Houston Christian,68.8048780487805,-0.008930073187835128,0.17761308046971608,66.53658536585365
West Virginia,68.78,0.1759622531973827,0.2095826077990142,70.36
North Carolina,68.75,0.21333619671513454,0.182312438791293,68.25
Clemson,68.71698113207547,0.18714635647899724,0.08078004841896735,72.28301886792453
North Alabama,68.68604651162791,0.10330711493261674,0.25642453227488365,68.51162790697674
Baylor,68.57,0.19823853465742716,0.1950209824718621,71.16
California,68.53,0.1537648513914227,0.16624011212991952,68.06
Memphis,68.37254901960785,0.25796454403934255,0.14262572915232924,70.31372549019608
Marshall,68.37254901960785,0.1397074198189383,0.08589013172500995,68.50980392156863
Virginia,68.23913043478261,0.12214889898560467,0.16694386672844183,69.73913043478261
Arkansas,68.22,0.23600127303313845,0.18002055535940686,68.78
Florida International,68.21875,0.10438804610409545,0.1713410942118775,65.0625
Buffalo,68.1,0.1031268407373,0.12959936229597863,69.96
UCF,68.03921568627452,0.2317036629677742,0.13535160418211603,69.7843137254902
Sacramento State,68.03191489361703,0.2353184186155829,0.17595659157545518,69.06382978723404
Webber International,68.0,0.048192141964714406,-0.1353324395508701,59.0
Northeastern State,68.0,0.11969497914321783,0.2801833939780202,64.0
Furman,67.94444444444444,0.1093217579437239,0.13911206153151137,68.5111111111111
Louisiana Tech,67.92857142857143,0.09445227314842188,0.1490687911462372,67.61224489795919
West Georgia,67.91666666666667,0.14211109014499784,0.10509288964056969,70.66666666666667
East Tennessee State,67.91666666666667,0.09416305701926261,0.1529698587287435,64.97619047619048
UAB,67.8061224489796,0.23103929925967875,0.233482968731548,68.38775510204081
Mississippi State,67.76530612244898,0.1509966768620426,0.16682854324831983,67.34693877551021
Gardner-Webb,67.72727272727273,0.12901905157194948,0.18126919503900524,69.5909090909091
Georgetown,67.6219512195122,0.06779916808524622,0.15108550200087148,69.90243902439025
Yale,67.52702702702703,0.22969213564333604,0.0843612578401186,66.70270270270271
Missouri S&T,67.5,-0.2991067335039007,-0.11996328978806023,56.0
Kentucky State,67.5,0.025301140135794195,0.4147075428851287,61.5
Texas,67.43636363636364,0.23241242567363998,0.0687469683897565,67.89090909090909
Stanford,67.41666666666667,0.08708300145996699,0.254270725808911,67.60416666666667
Toledo,67.39622641509433,0.18769420369248987,0.049805587294996664,67.41509433962264
Eastern Kentucky,67.3695652173913,0.19412761640475631,0.20146266626397866,65.3695652173913
Stony Brook,67.35714285714286,0.07081685896087328,0.21034461732747503,68.80952380952381
Arizona State,67.34,0.19226222425868175,0.1689820312275949,68.08
Kansas State,67.3076923076923,0.24650217409156364,0.11142417981913501,67.42307692307692
Pittsburgh,67.29,0.14498125304474244,0.08407520367690464,66.74
Liberty,67.26470588235294,0.21142304725212327,0.12984310725750742,68.23529411764706
Sam Houston,67.22222222222223,0.03990805504443099,0.1509816298533067,66.97777777777777
Eastern Michigan,67.21428571428571,0.13812005058856447,0.2012915908131366,67.79591836734694
Delaware,67.17777777777778,0.18296448932188897,0.09791227518073199,71.13333333333334
Houston,67.12244897959184,0.13382986172185912,0.1589756358409516,66.14285714285714
Syracuse,67.06862745098039,0.14407471992688828,0.17270078789709015,68.45098039215686
South Carolina,67.0,0.1790092879806401,0.1216700851788577,65.34
Ball State,67.0,0.07972032440529073,0.2067521490890846,66.375
Black Hills State,67.0,-0.000805956090072196,-0.12206829304487167,64.0
Eastern Washington,66.98837209302326,0.20484270032850185,0.3100410934458677,68.13953488372093
South Alabama,66.93137254901961,0.2572202210492111,0.13160368327158106,68.98039215686275
Abilene Christian,66.8695652173913,0.19377501113022305,0.172209997464485,68.47826086956522
Coastal Carolina,66.82352941176471,0.17209591667558854,0.20798239242275407,65.84313725490196
Lindenwood,66.8076923076923,0.15377754105679994,0.21356938917827825,65.58974358974359
Colorado,66.8061224489796,0.13339640539811393,0.22861049543652662,64.20408163265306
Georgia Tech,66.79,0.2014578400418714,0.17769098122664637,67.0
Kent State,66.77659574468085,0.06853820311334101,0.254601753945938,61.829787234042556
UConn,66.77,0.1557258282206381,0.14865695352285527,65.3
Illinois,66.75,0.18846839772483776,0.11567211613370958,66.12
UT Rio Grande Valley,66.72727272727273,0.3086817653661391,0.043806174586866024,61.18181818181818
Princeton,66.70270270270271,0.08884587478943651,0.1145097044407882,66.35135135135135
Colorado State,66.6938775510204,0.11370348981786904,0.18565893478582446,64.16326530612245
Stephen F. Austin,66.68888888888888,0.1744772577077643,0.12109954906929773,69.08888888888889
Washington State,66.66,0.18182469791617584,0.16005789441401247,66.26
San José State,66.62,0.20080920221249798,0.15281236742776325,64.7
Austin Peay,66.61363636363636,0.17831567478354138,0.12335238602285413,65.81818181818181
