confidence_tier,games,pct_of_total,mae,std,direction_accuracy,wins,losses,profit_units,roi_pct
HIGH,645,41.8559377027904,8.42427645912466,6.91058793172587,81.55038759689923,526,119,395.1,55.687103594080334
MEDIUM-HIGH,208,13.497728747566514,10.351077715937908,8.154902739327433,62.019230769230774,129,79,42.1,18.40034965034965
MEDIUM,262,17.00194678780013,10.381747820905147,8.750298438911654,57.63358778625955,151,111,28.9,10.027758501040944
LOW,213,13.82219338092148,10.906356982781853,9.253460413010451,48.82629107981221,104,109,-15.9,-6.786171574903969
VERY LOW,213,13.82219338092148,9.241243084953844,7.774755647267913,54.929577464788736,117,96,11.4,4.865556978233035
