category,games,pct_of_total,mae,std,direction_accuracy,mean_prediction,mean_actual,prediction_bias
Pick-em (0-3),261,16.937053861129137,8.971937335770706,7.670353214589955,66.28352490421456,0.1357635210892723,0.4118773946360153,-0.2761138735467434
Small (3-7),361,23.42634652822842,9.476467647685197,8.511587423709715,64.81994459833795,0.26677191677839335,0.2673130193905817,-0.0005411026121882267
Medium (7-14),393,25.502920181700194,9.216335188000256,8.006594963849334,67.93893129770993,1.3484608951323154,0.905852417302799,0.44260847782951657
Large (14-21),238,15.444516547696303,9.552767797866288,7.6391566559175725,68.4873949579832,0.38227965075630244,-0.45168067226890757,0.8339603230252102
Blowout (21+),288,18.689162881245945,10.207917688640817,7.564270703306641,65.97222222222221,1.9291329348750001,1.59375,0.33538293487500004
