week,train_games,test_games,MAE,RMSE,CoverAcc,DirectionAcc,ROI,Standard_MAE,Standard_CoverAcc,Standard_N,HighVar_MAE,HighVar_CoverAcc,HighVar_N,Blowout_MAE,Blowout_CoverAcc,Blowout_N,AvgVsAvg_MAE,AvgVsAvg_CoverAcc,AvgVsAvg_N,HIGH_CoverAcc,HIGH_N,MEDIUM_CoverAcc,MEDIUM_N,LOW_CoverAcc,LOW_N
5,228,50,13.866656746989113,17.162650564252512,0.74,0.66,52.72727272727272,11.898265872924505,0.6388888888888888,36,,,0,21.75791709430202,1.0,11,8.552725962283725,1.0,3,0.7,10,,0,0.7142857142857143,35
6,278,46,11.160044399705384,14.468059657121335,0.6304347826086957,0.7608695652173914,22.727272727272727,7.867701766266164,0.5483870967741935,31,,,0,24.81156403489484,0.8888888888888888,9,7.693201886357156,0.6666666666666666,6,0.6,10,1.0,1,0.625,32
7,324,48,11.973001499071094,14.636947480631285,0.6458333333333334,0.7083333333333334,40.0,9.35039348572259,0.5483870967741935,31,,,0,17.488576412819558,0.9090909090909091,11,15.411255559499509,0.6666666666666666,6,0.5555555555555556,9,1.0,1,0.6060606060606061,33
8,372,57,9.39361005904399,11.536755440522173,0.7017543859649122,0.8245614035087719,33.63636363636363,6.887560180784251,0.625,40,,,0,15.259075122220318,1.0,9,15.32521125426931,0.75,8,0.7692307692307693,13,0.5,4,0.7027027027027027,37
9,429,53,12.53814474098877,15.973909876205228,0.6226415094339622,0.6981132075471698,52.72727272727272,10.08029438320373,0.5,34,,,0,14.675561298382567,0.9230769230769231,13,21.834894227417454,0.6666666666666666,6,0.8333333333333334,12,,0,0.5151515151515151,33
10,482,46,11.85795883844948,13.95240326703656,0.717391304347826,0.7608695652173914,20.574162679425836,10.455089053478593,0.625,32,,,0,15.896216556810323,1.0,8,13.955587400479738,0.8333333333333334,6,0.7,10,0.0,2,0.7777777777777778,27
11,528,47,12.284327464822313,15.021654213528196,0.7021276595744681,0.7446808510638298,48.484848484848484,8.966208889293084,0.59375,32,,,0,20.51832481595821,1.0,12,14.741602865923843,0.6666666666666666,3,0.8333333333333334,6,0.5,2,0.6551724137931034,29
12,575,49,9.025213753706414,11.796200407437818,0.7551020408163265,0.7959183673469388,60.76555023923444,7.507913422953344,0.6764705882352942,34,,,0,14.537275782959371,0.9090909090909091,11,6.764095984661886,1.0,4,0.9090909090909091,11,0.5,2,0.7,30
13,624,60,9.33334781094177,11.010543176273734,0.75,0.8166666666666667,57.993730407523515,8.022463282510172,0.7045454545454546,44,,,0,16.799751040712003,1.0,10,6.502495636489766,0.6666666666666666,6,0.7222222222222222,18,1.0,2,0.6774193548387096,31
14,684,63,11.978193045019996,15.266929795836576,0.7142857142857143,0.6507936507936508,65.45454545454545,9.229086165552703,0.6428571428571429,42,,,0,20.833283233921176,0.9285714285714286,14,10.762653944021386,0.7142857142857143,7,0.9,10,0.0,1,0.6666666666666666,48
15,747,9,15.225159757552449,16.900623584266906,0.7777777777777778,0.6666666666666666,52.72727272727272,17.03733143794578,0.6,5,,,0,12.959945157060783,1.0,4,,,0,0.8,5,,0,0.75,4
